2018-05-09 14:47:59,939 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'cat-file', '--batch-check'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:47:59,943 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:47:59,946 DEBUG   MainThread [run_manager.py:__init__():372] Initialized sync for digits/hpvpmpp6
2018-05-09 14:47:59,947 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:47:59,950 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'diff', '--cached', '--abbrev=40', '--full-index', '--raw'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:47:59,954 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'diff', '--abbrev=40', '--full-index', '--raw'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:47:59,957 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'version'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:47:59,960 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/diff.patch, wd=1, mask=IN_CREATE, cookie=0, name=diff.patch>
2018-05-09 14:47:59,967 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/diff.patch, wd=1, mask=IN_MODIFY, cookie=0, name=diff.patch>
2018-05-09 14:47:59,987 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/diff.patch, wd=1, mask=IN_MODIFY, cookie=0, name=diff.patch>
2018-05-09 14:47:59,989 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/diff.patch, wd=1, mask=IN_MODIFY, cookie=0, name=diff.patch>
2018-05-09 14:47:59,995 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/diff.patch, wd=1, mask=IN_MODIFY, cookie=0, name=diff.patch>
2018-05-09 14:47:59,999 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/diff.patch, wd=1, mask=IN_MODIFY, cookie=0, name=diff.patch>
2018-05-09 14:48:00,011 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/diff.patch, wd=1, mask=IN_MODIFY, cookie=0, name=diff.patch>
2018-05-09 14:48:00,012 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'merge-base', 'HEAD', '699bfa8bd5eebe01cc962c30670c62ecd1ff647f'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:48:00,016 DEBUG   MainThread [cmd.py:execute():718] Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/riballes/git-repos/ml-class, universal_newlines=False, shell=None)
2018-05-09 14:48:00,023 DEBUG   MainThread [connectionpool.py:_new_conn():824] Starting new HTTPS connection (1): api.wandb.ai
